Store,WeekdayMu,WeekdaySd,WeekendMu,WeekendSd
Countdown Airport,7.4,1.970840056,4.75,1.258305739
Countdown Auckland City,8.4,2.064104241,3.5,1.290994449
Countdown Aviemore Drive,8,2.494203807,4,1.632993162
Countdown Birkenhead,8.4,2.575185226,4.25,1.707825128
Countdown Blockhouse Bay,7.6,1.989445837,2.25,0.5
Countdown Botany Downs,8.6,1.794729125,3.5,1.290994449
Countdown Browns Bay,8.4,3.030980387,4.25,1.707825128
Countdown Glenfield,7.4,2.187885304,4.5,1.732050808
Countdown Greenlane,8.6,2.739093204,3.5,1
Countdown Grey Lynn,9,2.741494022,3,1.414213562
Countdown Grey Lynn Central,8.8,2.773938868,5.5,1
Countdown Hauraki Corner,7.4,2.386364776,4.25,1.707825128
Countdown Henderson,8.2,2.403944128,4.25,1.5
Countdown Highland Park,8,2.53968502,2.75,0.957427108
Countdown Hobsonville,9,1.984147702,6,0
Countdown Howick,9.4,2.459674775,4,0.816496581
Countdown Kelston,8.6,2.870448342,4,1.414213562
Countdown Lincoln Road,8.8,2.436563585,4.5,1
Countdown Lynfield,8.4,2.207046133,3.5,1.914854216
Countdown Lynmall,7.2,1.503504678,4,1.414213562
Countdown Mairangi Bay,9.2,2.154554539,3.5,1.290994449
Countdown Mangere East,8.2,1.848897253,3.5,0.577350269
Countdown Mangere Mall,7.4,2.433861995,3.75,1.707825128
Countdown Manukau,8,2.187885304,6,0
Countdown Manukau Mall,8.4,2.277463964,3.75,1.5
Countdown Manurewa,8.6,1.904979624,3.5,1.914854216
Countdown Meadowbank,8.2,2.361979544,4.25,0.957427108
Countdown Meadowlands,8.6,2.158825217,3,0.816496581
Countdown Metro Albert Street,4.8,1.446411167,0,0
Countdown Metro Halsey Street,4,1.694418081,0,0
Countdown Milford,8.6,2.613225472,3.5,1.732050808
Countdown Mt Eden,8,2.777257261,4.75,1.258305739
Countdown Mt Roskill,8.4,1.863782233,4.25,1.707825128
Countdown Mt Wellington,9,2.584875035,3.75,1.707825128
Countdown Newmarket,7.8,2.837715909,3.25,0.957427108
Countdown Northcote,8,1.761428846,4.5,1.732050808
Countdown Northwest,8.2,2.149663376,3.25,1.892969449
Countdown Onehunga,8,2.154554539,3.75,1.707825128
Countdown Pakuranga,8,2.064104241,3.25,0.957427108
Countdown Papakura,7.6,2.330574811,4.5,1.732050808
Countdown Papatoetoe,9.2,2.197486603,2.75,0.957427108
Countdown Ponsonby,9.2,2.75824124,3.25,0.957427108
Countdown Pt Chevalier,8.6,2.238420496,4.5,1
Countdown Roselands,9,2.139232523,4.75,1.258305739
Countdown St Johns,7.6,1.962812161,3.5,1.290994449
Countdown St Lukes,7.4,2.502104377,3,1.154700538
Countdown Sunnynook,9,1.877848713,3.25,1.5
Countdown Sylvia Park,8.6,2.85804497,3.5,1.732050808
Countdown Takanini,8.4,2.675424216,4.5,1
Countdown Takapuna,8.2,2.319255779,2.5,1
Countdown Te Atatu,7.8,2.392972166,3.75,2.061552813
Countdown Te Atatu South,8,2.074912807,3.5,1.290994449
Countdown Three Kings,9.6,2.350251946,4,1.632993162
Countdown Victoria Street West,9.8,2.663594722,4,1.414213562
Countdown Westgate,8.6,2.323223713,5.5,0.577350269
FreshChoice Glen Eden,4.6,1.447320573,0,0
FreshChoice Half Moon Bay,4.8,1.602629418,0,0
FreshChoice Mangere Bridge,4.8,1.818038272,0,0
FreshChoice Otahuhu,4.2,1.164157703,0,0
FreshChoice Ranui,5,1.517442447,0,0
SuperValue Avondale,4.8,1.468081455,0,0
SuperValue Flatbush,5,1.386969434,0,0
SuperValue Palomino,5.2,1.531253357,0,0
SuperValue Papakura,4.8,1.446411167,0,0
SuperValue Titirangi,4.8,1.663066287,0,0
