Store,a,mu,b
Countdown Airport,6,7.4,9
Countdown Auckland City,7,8.4,10
Countdown Aviemore Drive,6,8,10
Countdown Birkenhead,6,8.4,10
Countdown Blockhouse Bay,7,7.6,9
Countdown Botany Downs,7,8.6,10
Countdown Browns Bay,6,8.4,11
Countdown Glenfield,6,7.4,9
Countdown Greenlane,6,8.6,10
Countdown Grey Lynn,7,9,11
Countdown Grey Lynn Central,8,8.8,9
Countdown Hauraki Corner,6,7.4,8
Countdown Henderson,7,8.2,10
Countdown Highland Park,7,8,9
Countdown Hobsonville,8,9,10
Countdown Howick,9,9.4,10
Countdown Kelston,6,8.6,11
Countdown Lincoln Road,8,8.8,10
Countdown Lynfield,8,8.4,9
Countdown Lynmall,6,7.2,8
Countdown Mairangi Bay,8,9.2,12
Countdown Mangere East,7,8.2,9
Countdown Mangere Mall,6,7.4,8
Countdown Manukau,7,8,10
Countdown Manukau Mall,6,8.4,10
Countdown Manurewa,8,8.6,10
Countdown Meadowbank,6,8.2,10
Countdown Meadowlands,8,8.6,10
Countdown Metro Albert Street,4,4.8,5
Countdown Metro Halsey Street,3,4,5
Countdown Milford,7,8.6,11
Countdown Mt Eden,7,8,10
Countdown Mt Roskill,7,8.4,9
Countdown Mt Wellington,8,9,11
Countdown Newmarket,6,7.8,9
Countdown Northcote,7,8,10
Countdown Northwest,8,8.2,9
Countdown Onehunga,7,8,10
Countdown Pakuranga,7,8,9
Countdown Papakura,7,7.6,8
Countdown Papatoetoe,8,9.2,12
Countdown Ponsonby,7,9.2,11
Countdown Pt Chevalier,8,8.6,10
Countdown Roselands,7,9,10
Countdown St Johns,6,7.6,9
Countdown St Lukes,7,7.4,8
Countdown Sunnynook,8,9,10
Countdown Sylvia Park,7,8.6,10
Countdown Takanini,7,8.4,10
Countdown Takapuna,7,8.2,10
Countdown Te Atatu,6,7.8,9
Countdown Te Atatu South,7,8,9
Countdown Three Kings,9,9.6,11
Countdown Victoria Street West,9,9.8,11
Countdown Westgate,7,8.6,10
FreshChoice Glen Eden,4,4.6,5
FreshChoice Half Moon Bay,4,4.8,6
FreshChoice Mangere Bridge,3,4.8,6
FreshChoice Otahuhu,3,4.2,5
FreshChoice Ranui,4,5,7
SuperValue Avondale,4,4.8,5
SuperValue Flatbush,4,5,6
SuperValue Palomino,4,5.2,6
SuperValue Papakura,4,4.8,5
SuperValue Titirangi,4,4.8,5
